geo_value,time_value,percent_covid_tests_positive_smoothed,covid_admissions,raw_search,percent_covid_visits,fb_illness,new_cases,full_time_work_prop,percent_home
ct,2020-06-05,2.54237288,5.459931,0.0,0.322317,0.3243687,221,3.701530004405999,32.627099936475
fl,2020-06-05,5.24301569,2.074941,8.02389213,0.120372,0.3850281,1305,3.8771636290019997,32.16281760776
ga,2020-06-05,8.06451613,2.4558880000000003,3.75132026,0.202803,0.477721,762,3.4502341973832,27.777637038214003
in,2020-06-05,13.46153846,4.230786,15.78420981,0.219791,0.6121006999999999,482,3.5336825367126,28.294695860035997
ks,2020-06-05,9.52380952,0.8810629999999999,0.0,0.08476399999999999,0.4450664000000001,139,3.8652775845761003,26.99295836815
ky,2020-06-05,3.96570204,2.2450959999999998,11.987625900000001,0.049537,0.38132990000000005,272,3.7764690059498,26.532357360442997
la,2020-06-05,7.22891566,0.46948900000000005,24.50973126,0.164686,0.5992441999999999,427,4.2645635358681,24.964878299257997
ma,2020-06-05,3.64683301,9.166995,10.889914,0.22522399999999998,0.2843991,340,3.8886911767653,35.553385504259005
md,2020-06-05,11.53846154,7.176658,6.17682496,0.33570900000000004,0.6788831,912,3.5718570064542003,35.644710443352004
mo,2020-06-05,13.55932203,1.285938,0.0,0.09585199999999999,0.6340081999999999,167,4.2371724203047005,26.631826866446
nc,2020-06-05,4.33070866,3.320154,4.07102105,0.182646,0.416101,1317,3.5961698940566,29.076518689992998
ne,2020-06-05,3.50877193,2.9952080000000003,0.0,0.174841,0.700184,267,4.4479144871864005,26.670062915004
nj,2020-06-05,1.83150183,5.958751,13.90482521,0.7434350000000001,0.3579622,806,3.8845534376882007,35.128249300583
ny,2020-06-05,1.65289256,3.33008,7.68939557,0.555515,0.4702831,1075,4.1777977515017,36.674948411523
ok,2020-06-05,2.60756193,1.180305,14.68259,0.06676499999999999,0.6276911000000001,100,3.8788672806502,24.314412171942998
or,2020-06-05,2.08333333,0.307571,0.0,0.072318,0.2802705,96,3.9149853203877005,35.11552312722001
sd,2020-06-05,0.0,1.628274,0.0,0.203927,0.338794,29,4.131059181623701,25.448220024713002
tx,2020-06-05,10.03673576,2.262768,5.84268015,0.237654,0.45310920000000005,1944,3.4819179722783,28.287335167654
va,2020-06-05,11.81102362,2.325027,8.89261319,0.255184,0.5257558000000001,676,3.7071913751181005,32.27330377525
wi,2020-06-05,0.0,2.5540830000000003,0.0,0.17317000000000002,0.38171940000000004,357,3.9136062284707998,29.835226371727003
al,2020-06-06,2.43902439,7.0471710000000005,0.0,0.21721300000000002,0.636454,445,2.499267692189,23.232920628249
ar,2020-06-06,4.37956204,1.6356950000000001,0.0,0.1349,0.8734816999999999,450,2.7717124483810003,25.217314195896
ca,2020-06-06,3.96039604,2.0433,2.39914422,0.295939,0.4134561,2823,3.3728045279977996,35.099928345207
ct,2020-06-06,1.81818182,5.014182,24.87795888,0.322763,0.3129039,358,2.3903783151965996,30.684158138348998
fl,2020-06-06,4.88873904,2.090554,0.0,0.121958,0.38636240000000005,1270,1.8948875883876,29.792247131741995
ga,2020-06-06,8.19362951,2.4239889999999997,4.30216663,0.200275,0.4123883,738,1.8409787099616999,25.685193848631
in,2020-06-06,14.03508772,3.884693,0.0,0.207497,0.6548904000000001,419,1.991744996111,25.923992757026998
ks,2020-06-06,9.01162791,0.752462,0.0,0.078779,0.42845959999999994,55,2.1249752936946997,25.497582607375
ky,2020-06-06,4.28646106,2.353201,27.78242016,0.053617,0.31678979999999995,310,2.0835113495032,24.740591446636
la,2020-06-06,7.05882353,0.8795040000000001,0.0,0.17091800000000001,0.5377203,497,2.4980075378868998,23.965874090836998
ma,2020-06-06,3.25123153,8.598426,6.4601122,0.221921,0.25436149999999996,152,2.9030800300096,33.064525955422
md,2020-06-06,11.05769231,6.7638169999999995,7.41093209,0.343963,0.6827504,712,2.3800064078756002,33.441048841329
mo,2020-06-06,14.16666667,1.201906,9.27311523,0.096569,0.6362190999999999,289,2.454899881867,25.520213193217
nc,2020-06-06,4.33070866,3.368212,4.81344909,0.186356,0.39535159999999997,950,2.2654558979005004,27.444168612009
ne,2020-06-06,3.44827586,2.885405,0.0,0.181001,0.7190143,166,2.4463964057081,26.528863166336997
nj,2020-06-06,1.82481752,5.673565,9.9876353,0.739967,0.3699336,557,2.533376174788,33.735011121354
ny,2020-06-06,1.63934426,2.863178,7.23587878,0.532833,0.4788059,1108,3.2044140992413,35.835842565906
ok,2020-06-06,2.82902829,1.2668030000000001,0.0,0.065178,0.5617470999999999,52,2.3499034948137996,23.912447835664
or,2020-06-06,1.57480315,0.48201499999999997,0.0,0.06699,0.26340779999999997,0,2.6814564318224003,36.009169065022
